DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,0.6589577961071136
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,74.57666666666667
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,1,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,1,VALID,LOSS,0.43618923937851994
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,1,VALID,ACC1,84.69736842105263
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,0.4596548129471775
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,84.56916666666667
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,2,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,2,VALID,LOSS,0.3820539033918874
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,2,VALID,ACC1,86.63157894736841
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,0.42857887214485574
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,85.58583333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,3,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,3,VALID,LOSS,0.3710197976242889
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,3,VALID,ACC1,86.96052631578948
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,0.41012243747407423
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,86.1875
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,4,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,4,VALID,LOSS,0.3617040499410947
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,4,VALID,ACC1,87.27631578947368
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,0.40177900202503497
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,86.41833333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,5,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,5,VALID,LOSS,0.35334746661146066
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,5,VALID,ACC1,87.4342105263158
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,6,TRAIN,LOSS,0.3938710995729875
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,6,TRAIN,ACC1,86.6725
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,6,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,6,VALID,LOSS,0.3445232383958335
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,6,VALID,ACC1,88.02631578947368
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,7,TRAIN,LOSS,0.389972134068733
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,7,TRAIN,ACC1,86.76166666666667
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,7,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,7,VALID,LOSS,0.3419275655037041
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,7,VALID,ACC1,87.9342105263158
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,8,TRAIN,LOSS,0.3850035437113808
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,8,TRAIN,ACC1,87.0475
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,8,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,8,VALID,LOSS,0.3372692888020413
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,8,VALID,ACC1,88.19736842105263
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,9,TRAIN,LOSS,0.38268598031739626
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,9,TRAIN,ACC1,87.06333333333333
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,9,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,9,VALID,LOSS,0.3364161131226319
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,9,VALID,ACC1,88.14473684210526
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,10,TRAIN,LOSS,0.37543998899652126
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,10,TRAIN,ACC1,87.29083333333334
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,10,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,10,VALID,LOSS,0.319399397871365
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,10,VALID,ACC1,88.6578947368421
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,11,TRAIN,LOSS,0.37486891325062754
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,11,TRAIN,ACC1,87.21
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,11,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,11,VALID,LOSS,0.32838027346340737
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,11,VALID,ACC1,88.5
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,12,TRAIN,LOSS,0.3746473389465117
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,12,TRAIN,ACC1,87.23583333333333
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,12,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,12,VALID,LOSS,0.3187348565601112
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,12,VALID,ACC1,88.80263157894737
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,13,TRAIN,LOSS,0.3706802578993634
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,13,TRAIN,ACC1,87.36
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,13,HYPER,LR,0.001
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,13,VALID,LOSS,0.32495737460990454
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,13,VALID,ACC1,88.72368421052632
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,14,TRAIN,LOSS,0.36973970117402544
agnews,rcnn,sgd_l0.001_e20_w0_m0.9_nt,1,14,TRAIN,ACC1,87.40333333333334
