DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,0.8074380587529869
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,75.895
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,1,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,1,VALID,LOSS,0.6664131431176114
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,1,VALID,ACC1,76.57894736842105
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,0.7744033058630065
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,78.62916666666666
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,2,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,2,VALID,LOSS,0.6905817462362195
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,2,VALID,ACC1,74.61842105263158
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,0.7083072928620983
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,80.655
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,3,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,3,VALID,LOSS,0.7647265435500977
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,3,VALID,ACC1,77.80263157894737
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,0.6531755998774212
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,81.69999999999999
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,4,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,4,VALID,LOSS,0.46034192513273064
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,4,VALID,ACC1,84.9342105263158
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,0.5995360449520567
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,82.59083333333334
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,5,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,5,VALID,LOSS,0.5405328057849232
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,5,VALID,ACC1,83.5657894736842
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,0.5500853126215661
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,6,TRAIN,ACC1,83.82416666666667
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,6,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,6,VALID,LOSS,0.49969793309879246
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,6,VALID,ACC1,81.53947368421053
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,7,TRAIN,LOSS,0.5047204955021778
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,7,TRAIN,ACC1,84.92
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,7,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,7,VALID,LOSS,0.7268946773627247
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,7,VALID,ACC1,73.36842105263158
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,8,TRAIN,LOSS,0.477912735684643
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,8,TRAIN,ACC1,85.7225
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,8,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,8,VALID,LOSS,0.643514193258661
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,8,VALID,ACC1,75.28947368421053
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,9,TRAIN,LOSS,0.4572132345551328
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,9,TRAIN,ACC1,86.3625
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,9,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,9,VALID,LOSS,0.4950402698613856
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,9,VALID,ACC1,83.67105263157895
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,10,TRAIN,LOSS,0.4162071921978714
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,10,TRAIN,ACC1,87.48583333333333
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,10,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,10,VALID,LOSS,0.45282085590332144
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,10,VALID,ACC1,83.88157894736842
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,11,TRAIN,LOSS,0.36885547489383985
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,11,TRAIN,ACC1,88.77083333333333
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,11,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,11,VALID,LOSS,0.48047014618063816
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,11,VALID,ACC1,83.67105263157895
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,12,TRAIN,LOSS,0.33969000229515295
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,12,TRAIN,ACC1,89.645
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,12,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,12,VALID,LOSS,0.41830592417079043
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,12,VALID,ACC1,86.26315789473684
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,13,TRAIN,LOSS,0.3099009985088369
agnews,rcnn,sgd_l0.05_e20_w0_m0.9_nf,1,13,TRAIN,ACC1,90.47333333333334
