DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,1.943391427154541
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,28.637999999999998
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,1,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,1,VALID,LOSS,1.8134204036712647
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,1,VALID,ACC1,32.84
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,1.8075324653625489
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,33.75
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,2,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,2,VALID,LOSS,1.7161943258285521
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,2,VALID,ACC1,37.91
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,1.7404639044189454
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,36.394000000000005
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,3,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,3,VALID,LOSS,1.657126788711548
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,3,VALID,ACC1,40.349999999999994
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,1.691128864440918
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,38.517999999999994
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,4,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,4,VALID,LOSS,1.6373423889160157
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,4,VALID,ACC1,40.42
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,1.651722870826721
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,40.03
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,5,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,5,VALID,LOSS,1.5811196359634399
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,5,VALID,ACC1,42.779999999999994
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,1.6136567411422729
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,41.22
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,6,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,6,VALID,LOSS,1.539936856842041
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,6,VALID,ACC1,43.63
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,1.5856749980163574
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,42.348
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,7,HYPER,LR,0.001
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,7,VALID,LOSS,1.5157226764678955
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,7,VALID,ACC1,44.69
cifar10,resnet50,sgd_l0.001_e100_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,1.5555837033462525
