DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,1,TRAIN,LOSS,1.8834317609405518
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,1,TRAIN,ACC1,30.045999999999996
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,1,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,1,VALID,LOSS,1.7217061868667602
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,1,VALID,ACC1,35.73
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,2,TRAIN,LOSS,1.7061297118377685
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,2,TRAIN,ACC1,36.970000000000006
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,2,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,2,VALID,LOSS,1.6324730682373048
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,2,VALID,ACC1,38.94
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,3,TRAIN,LOSS,1.5775832123947144
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,3,TRAIN,ACC1,41.848
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,3,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,3,VALID,LOSS,1.6042984802246094
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,3,VALID,ACC1,41.54
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,4,TRAIN,LOSS,1.4720762394332885
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,4,TRAIN,ACC1,45.78
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,4,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,4,VALID,LOSS,1.3858236904144288
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,4,VALID,ACC1,47.92999999999999
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,5,TRAIN,LOSS,1.3491794522094727
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,5,TRAIN,ACC1,50.864
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,5,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,5,VALID,LOSS,1.2921633960723877
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,5,VALID,ACC1,53.68999999999999
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,6,TRAIN,LOSS,1.253288070755005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,6,TRAIN,ACC1,54.53
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,6,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,6,VALID,LOSS,1.2015413366317749
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,6,VALID,ACC1,55.559999999999995
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,7,TRAIN,LOSS,1.1666903438186647
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,7,TRAIN,ACC1,57.776
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,7,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,7,VALID,LOSS,1.2549511925697328
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,7,VALID,ACC1,56.75
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,8,TRAIN,LOSS,1.0867104483032226
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,8,TRAIN,ACC1,60.959999999999994
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,8,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,8,VALID,LOSS,1.0402833488464356
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,8,VALID,ACC1,63.129999999999995
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,9,TRAIN,LOSS,1.0124121152496337
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,9,TRAIN,ACC1,63.674
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,9,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,9,VALID,LOSS,1.0926386781692505
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,9,VALID,ACC1,60.57
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,10,TRAIN,LOSS,0.9472931443405151
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,10,TRAIN,ACC1,66.044
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,10,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,10,VALID,LOSS,1.0619999625205994
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,10,VALID,ACC1,63.519999999999996
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,11,TRAIN,LOSS,0.8919497470283508
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,11,TRAIN,ACC1,68.23
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,11,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,11,VALID,LOSS,0.9128707047462463
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,11,VALID,ACC1,67.99
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,12,TRAIN,LOSS,0.8420145661354065
cifar10,resnet50,sgd_l0.005_e100_w0_m0.9_nf,1,12,TRAIN,ACC1,70.016
