DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,1.8038661561584473
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,34.394000000000005
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,1,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,1,VALID,LOSS,1.6667026916503906
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,1,VALID,ACC1,41.72
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,1.2323373307609558
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,55.36
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,2,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,2,VALID,LOSS,1.2427520044326783
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,2,VALID,ACC1,57.379999999999995
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,0.9526755646514893
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,66.07600000000001
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,3,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,3,VALID,LOSS,1.0639260585784913
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,3,VALID,ACC1,63.35999999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.8084512990951538
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,71.39599999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,4,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.8009364653587341
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,4,VALID,ACC1,71.81
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.6782928005409241
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,76.168
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,5,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,5,VALID,LOSS,0.8369363849639893
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,5,VALID,ACC1,73.39
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,0.5825769543647766
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,79.616
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,6,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,6,VALID,LOSS,0.6917805953025817
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,6,VALID,ACC1,76.42999999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,0.5179695904159546
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,82.116
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,7,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,7,VALID,LOSS,0.6842146070480347
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,7,VALID,ACC1,77.61
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,0.4733007332611084
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,83.604
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,8,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,8,VALID,LOSS,0.5641187468528748
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,8,VALID,ACC1,81.08999999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,0.4360196235656738
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,84.76599999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,9,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,9,VALID,LOSS,0.5432828351020813
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,9,VALID,ACC1,82.67999999999999
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,0.40033231462478636
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,86.138
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,10,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,10,VALID,LOSS,0.5162523720264435
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,10,VALID,ACC1,83.35000000000001
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,0.3729989221382141
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,87.188
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,11,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,11,VALID,LOSS,0.4755683536529541
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,11,VALID,ACC1,84.16
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,0.3517714584159851
cifar10,resnet50,sgd_l0.05_e100_w0.0001_m0.9_nt,1,12,TRAIN,ACC1,87.85000000000001
