DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,1,TRAIN,LOSS,1.8393771170806885
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,1,TRAIN,ACC1,34.03
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,1,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,1,VALID,LOSS,1.5373839246749879
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,1,VALID,ACC1,43.89999999999999
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,2,TRAIN,LOSS,1.2641136772537231
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,2,TRAIN,ACC1,54.248000000000005
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,2,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,2,VALID,LOSS,1.5713769554138184
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,2,VALID,ACC1,50.51
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,3,TRAIN,LOSS,0.9717330404853821
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,3,TRAIN,ACC1,65.318
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,3,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,3,VALID,LOSS,1.119753525352478
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,3,VALID,ACC1,62.94
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,4,TRAIN,LOSS,0.8268706573677063
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,4,TRAIN,ACC1,70.752
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,4,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,4,VALID,LOSS,0.8522929481506347
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,4,VALID,ACC1,70.26
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,5,TRAIN,LOSS,0.7028207712173462
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,5,TRAIN,ACC1,75.196
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,5,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,5,VALID,LOSS,0.8621969070434571
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,5,VALID,ACC1,71.30000000000001
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,6,TRAIN,LOSS,0.5986779977226258
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,6,TRAIN,ACC1,79.31200000000001
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,6,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,6,VALID,LOSS,0.8310183193206787
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,6,VALID,ACC1,72.61
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,7,TRAIN,LOSS,0.5274641410636902
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,7,TRAIN,ACC1,81.664
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,7,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,7,VALID,LOSS,0.6616917914867401
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,7,VALID,ACC1,78.61
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,8,TRAIN,LOSS,0.48519130379676817
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,8,TRAIN,ACC1,83.14399999999999
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,8,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,8,VALID,LOSS,0.5542595146179199
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,8,VALID,ACC1,81.58
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,9,TRAIN,LOSS,0.43012864503860476
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,9,TRAIN,ACC1,84.952
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,9,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,9,VALID,LOSS,0.5415310569763183
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,9,VALID,ACC1,81.96
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,10,TRAIN,LOSS,0.39235727939605713
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,10,TRAIN,ACC1,86.424
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,10,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,10,VALID,LOSS,0.4736038215637207
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,10,VALID,ACC1,84.50999999999999
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,11,TRAIN,LOSS,0.3577532615375519
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,11,TRAIN,ACC1,87.732
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,11,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,11,VALID,LOSS,0.4476801010131836
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,11,VALID,ACC1,85.32
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,12,TRAIN,LOSS,0.33189107645988464
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,12,TRAIN,ACC1,88.458
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,12,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,12,VALID,LOSS,0.47192799431085586
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,12,VALID,ACC1,84.98
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,13,TRAIN,LOSS,0.3116609432220459
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,13,TRAIN,ACC1,89.158
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,13,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,13,VALID,LOSS,0.4914343543529511
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,13,VALID,ACC1,84.74
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,14,TRAIN,LOSS,0.2888212286710739
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,14,TRAIN,ACC1,89.862
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,14,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,14,VALID,LOSS,0.4212044828891754
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,14,VALID,ACC1,86.39
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,15,TRAIN,LOSS,0.26529117758750914
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,15,TRAIN,ACC1,90.64999999999999
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,15,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,15,VALID,LOSS,0.4327378761291504
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,15,VALID,ACC1,86.78
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,16,TRAIN,LOSS,0.24742617475509643
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,16,TRAIN,ACC1,91.338
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,16,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,16,VALID,LOSS,0.4180758644580841
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,16,VALID,ACC1,86.97
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,17,TRAIN,LOSS,0.23202901627063752
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,17,TRAIN,ACC1,91.998
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,17,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,17,VALID,LOSS,0.37147586045265196
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,17,VALID,ACC1,88.2
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,18,TRAIN,LOSS,0.2168680777311325
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nt,1,18,TRAIN,ACC1,92.414
