DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,TRAIN,LOSS,0.42228440790285227
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,TRAIN,ACC1,86.02416666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,VALID,LOSS,0.44607659411397865
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,VALID,ACC1,83.35526315789474
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.35571688969496895
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,TRAIN,ACC1,88.71333333333334
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,VALID,LOSS,0.39129535927694076
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,VALID,ACC1,85.69736842105263
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.3325026618638342
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,TRAIN,ACC1,89.49249999999999
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,VALID,LOSS,0.3930552260377072
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,VALID,ACC1,84.8157894736842
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.318802646323704
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,TRAIN,ACC1,89.96333333333332
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,VALID,LOSS,0.35642091455158353
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,VALID,ACC1,86.76315789473684
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,TRAIN,LOSS,0.3081675225597844
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,TRAIN,ACC1,90.25
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,VALID,LOSS,0.35398978473661963
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,VALID,ACC1,86.61842105263158
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.29805641622155116
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,TRAIN,ACC1,90.51916666666666
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,VALID,LOSS,0.3425350460404896
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,VALID,ACC1,87.19736842105263
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.2919308839430544
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,TRAIN,ACC1,90.7425
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,VALID,LOSS,0.35016401386372387
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,VALID,ACC1,86.76315789473684
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,TRAIN,LOSS,0.28673525373093434
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,TRAIN,ACC1,90.87666666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,VALID,LOSS,0.33712459594928035
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,VALID,ACC1,87.36842105263159
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,9,TRAIN,LOSS,0.28123588356530244
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,9,TRAIN,ACC1,91.01416666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,9,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,9,VALID,LOSS,0.34965177231094663
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,9,VALID,ACC1,87.09210526315789
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,10,TRAIN,LOSS,0.27353949090684015
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,10,TRAIN,ACC1,91.24833333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,10,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,10,VALID,LOSS,0.334767311134781
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,10,VALID,ACC1,87.64473684210526
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,11,TRAIN,LOSS,0.27029631200486043
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,11,TRAIN,ACC1,91.34833333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,11,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,11,VALID,LOSS,0.3237451667351012
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,11,VALID,ACC1,88.10526315789473
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,12,TRAIN,LOSS,0.26783917591450856
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,12,TRAIN,ACC1,91.47
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,12,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,12,VALID,LOSS,0.32489748196896673
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,12,VALID,ACC1,88.21052631578948
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,13,TRAIN,LOSS,0.2658031507831002
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,13,TRAIN,ACC1,91.55250000000001
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,13,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,13,VALID,LOSS,0.32453219178049764
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,13,VALID,ACC1,88.03947368421052
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,14,TRAIN,LOSS,0.2599917626375903
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,14,TRAIN,ACC1,91.73166666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,14,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,14,VALID,LOSS,0.34885189909323694
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,14,VALID,ACC1,87.05263157894737
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,15,TRAIN,LOSS,0.2567700411892709
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,15,TRAIN,ACC1,91.80416666666666
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,15,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,15,VALID,LOSS,0.3069426877701351
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,15,VALID,ACC1,88.88157894736842
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,16,TRAIN,LOSS,0.25344528306643305
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,16,TRAIN,ACC1,91.85833333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,16,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,16,VALID,LOSS,0.3178000779009998
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,16,VALID,ACC1,88.39473684210526
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,17,TRAIN,LOSS,0.24834741471130062
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,17,TRAIN,ACC1,92.04333333333334
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,17,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,17,VALID,LOSS,0.31673486895404507
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,17,VALID,ACC1,88.77631578947368
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,18,TRAIN,LOSS,0.2475484590990751
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,18,TRAIN,ACC1,92.1075
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,18,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,18,VALID,LOSS,0.2888594975487046
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,18,VALID,ACC1,89.82894736842105
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,19,TRAIN,LOSS,0.244332854064592
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,19,TRAIN,ACC1,92.24083333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,19,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,19,VALID,LOSS,0.30875774015839585
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,19,VALID,ACC1,89.15789473684211
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,20,TRAIN,LOSS,0.24348885644076082
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,20,TRAIN,ACC1,92.25833333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,20,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,20,VALID,LOSS,0.29356615159145283
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,20,VALID,ACC1,89.40789473684211
