DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.573601166451793
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,79.58833333333332
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.5841484132776656
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,78.61842105263158
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.5494296884316718
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,80.81083333333333
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.708323128848534
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,69.44736842105263
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.5461098904283861
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,80.88833333333334
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.5918016388430679
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,76.92105263157895
agnews,rcnn,adam_l0.01_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.541030555802788
