DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,LOSS,26.91317331469931
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,ACC1,26.894166666666663
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,1,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,1,VALID,LOSS,20.044105770640606
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,1,VALID,ACC1,23.368421052631582
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,LOSS,26.51488094947327
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,ACC1,26.805
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,2,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,2,VALID,LOSS,33.78915510620426
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,2,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,LOSS,26.646027470836547
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,ACC1,27.297499999999996
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,3,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,3,VALID,LOSS,34.04947546182189
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,3,VALID,ACC1,24.986842105263165
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,LOSS,26.541451771538075
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,ACC1,27.24833333333333
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,4,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,4,VALID,LOSS,31.626550007432737
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,4,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,5,TRAIN,LOSS,26.965134988535016
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,5,TRAIN,ACC1,27.2725
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,5,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,5,VALID,LOSS,21.004477106374903
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,5,VALID,ACC1,27.85526315789474
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,6,TRAIN,LOSS,26.827034669561563
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,6,TRAIN,ACC1,26.792499999999997
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,6,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,6,VALID,LOSS,41.75699647654464
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,6,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,7,TRAIN,LOSS,26.427270553349935
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,7,TRAIN,ACC1,27.16583333333333
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,7,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,7,VALID,LOSS,25.23018812884911
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,7,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,8,TRAIN,LOSS,26.515192659334474
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,8,TRAIN,ACC1,27.136666666666663
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,8,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e20_w0.0001_m0.9_cf_a0.99,1,8,VALID,LOSS,34.81945240951311
