DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,2.950901213162912
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,62.486666666666665
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,1,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,1,VALID,LOSS,1.5518893046979256
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,1,VALID,ACC1,71.63157894736842
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,2.9032306019283727
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,66.4825
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,VALID,LOSS,4.908982926167916
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,2,VALID,ACC1,47.36842105263158
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,2.7320687398308916
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,68.10166666666666
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,3,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,3,VALID,LOSS,3.4559893759991405
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,3,VALID,ACC1,54.05263157894738
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,2.6960418231936063
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,68.87416666666665
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,4,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,4,VALID,LOSS,4.099267962878697
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,4,VALID,ACC1,48.618421052631575
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,2.780520784679594
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,68.18083333333334
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,5,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,5,VALID,LOSS,5.236388010116744
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,5,VALID,ACC1,46.23684210526315
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,2.669023761452938
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,69.34
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,6,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,6,VALID,LOSS,3.1720815984831225
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,6,VALID,ACC1,49.486842105263165
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,2.6907684622687618
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,68.94583333333333
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,7,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,7,VALID,LOSS,3.0549459039532523
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,7,VALID,ACC1,56.289473684210535
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,2.6747790528640993
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,69.44333333333333
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,8,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,8,VALID,LOSS,3.59674860457999
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,8,VALID,ACC1,50.40789473684211
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,2.741375227037715
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,68.84666666666666
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,9,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,9,VALID,LOSS,2.91937816752253
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,9,VALID,ACC1,50.22368421052632
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,2.613867063426923
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,69.71833333333333
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,10,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,10,VALID,LOSS,3.2542378527389624
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,10,VALID,ACC1,57.11842105263158
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,11,TRAIN,LOSS,2.7127473899077184
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,11,TRAIN,ACC1,68.975
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,11,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,11,VALID,LOSS,3.862938013418408
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,11,VALID,ACC1,41.19736842105263
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,12,TRAIN,LOSS,2.7491793812564644
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,12,TRAIN,ACC1,68.42666666666666
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,12,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,12,VALID,LOSS,3.7475454211525148
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,12,VALID,ACC1,52.19736842105262
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,13,TRAIN,LOSS,2.655978909353889
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,13,TRAIN,ACC1,68.99
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,13,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,13,VALID,LOSS,3.7783484380247296
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,13,VALID,ACC1,51.89473684210526
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,14,TRAIN,LOSS,2.6923363409692627
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,14,TRAIN,ACC1,69.245
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,14,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,14,VALID,LOSS,7.391756670785765
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,14,VALID,ACC1,43.9078947368421
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,15,TRAIN,LOSS,2.6318003438203625
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,15,TRAIN,ACC1,69.40833333333333
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,15,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,15,VALID,LOSS,5.117475246044
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,15,VALID,ACC1,46.55263157894737
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,16,TRAIN,LOSS,2.612513669313595
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,16,TRAIN,ACC1,69.82083333333333
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,16,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,16,VALID,LOSS,3.3749737220742064
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,16,VALID,ACC1,54.35526315789474
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,17,TRAIN,LOSS,2.6770233526527893
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,17,TRAIN,ACC1,69.295
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,17,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,17,VALID,LOSS,2.901510511234419
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,17,VALID,ACC1,54.68421052631579
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,18,TRAIN,LOSS,2.611152134106582
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,18,TRAIN,ACC1,69.54
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,18,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,18,VALID,LOSS,3.665367374897792
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,18,VALID,ACC1,45.21052631578948
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,19,TRAIN,LOSS,2.6247271773675873
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,19,TRAIN,ACC1,69.45083333333332
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,19,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,19,VALID,LOSS,5.249347930895392
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,19,VALID,ACC1,43.828947368421055
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,20,TRAIN,LOSS,2.6644414144142705
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,20,TRAIN,ACC1,69.34083333333334
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,20,HYPER,LR,0.1
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,20,VALID,LOSS,4.706154119547184
agnews,rcnn,sgd_l0.1_e20_w0.0001_m0.9_nf,1,20,VALID,ACC1,46.93421052631579
