DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,78.19868274040353
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,25.539166666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,VALID,LOSS,113.81271363195886
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,78.99560648803443
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,25.540833333333335
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,VALID,LOSS,90.71040340060792
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,77.91288543729307
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,25.61
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,VALID,LOSS,110.19927350314116
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,77.21578476050406
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,26.249166666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,VALID,LOSS,89.25816275144429
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,78.20225222337919
