DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,0.47385812115603015
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,82.9025
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.010009999123575255
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,0.44908214564925913
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,84.23684210526315
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,0.4276018070257122
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,85.26833333333333
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.01000999694097773
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,0.43803170835259336
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,84.67105263157895
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.4161080398190589
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,85.62583333333333
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.010009989322971298
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,0.3656833715048596
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,87.96052631578948
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.39964245034038026
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,86.29333333333334
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.010009962733607158
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.33993738380562744
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,88.4342105263158
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.3872102450068772
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,86.9075
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.010009869928715333
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.3299795586235403
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,89.02631578947368
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,0.37971079565256904
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,87.11833333333333
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,0.010009546021312977
agnews,rcnn,taso_l0.01_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,LOSS,0.33903086781617814
