DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,77.8664428310129
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,25.785000000000004
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,1.0009999123575255
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,134.54051518075877
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,77.76603464287163
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,25.685000000000002
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,1.000999694097773
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,88.38624653964293
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,78.52949742871272
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,25.779166666666665
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,1.0009989322971298
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,162.3002965933251
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,76.85755243382404
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,26.059166666666666
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,1.0009962733607158
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,89.67230770672167
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,79.28001956590504
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,25.65333333333333
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,1.0009869928715334
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,87.50332458980311
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,78.31416807751373
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,25.65166666666666
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,1.0009546021312976
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,LOSS,86.29825669222446
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,LOSS,77.65802887075762
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,ACC1,25.745833333333334
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,HYPER,LR,1.0008415637808974
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,LOSS,107.93237999041868
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,LOSS,76.66746839002586
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,ACC1,25.7325
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,HYPER,LR,1.0004472213630764
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,LOSS,101.83970345952292
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,TRAIN,LOSS,78.27133830470822
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,TRAIN,ACC1,25.636666666666663
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,HYPER,LR,0.9990732653366725
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,VALID,LOSS,62.21245593257857
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,VALID,ACC1,24.986842105263165
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,TRAIN,LOSS,77.40715809463127
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,TRAIN,ACC1,25.632500000000004
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,HYPER,LR,0.9943071490757153
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,VALID,LOSS,165.70050141828312
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,10,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0.0001_m0.9_nf_a25_b0.7_l4,1,11,TRAIN,LOSS,75.9909002250512
