DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.8319433737945556
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,31.584
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.9012895896911621
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,29.810000000000002
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.3992829496002197
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,48.582
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.2851822484970092
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,53.15
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.1913787369155884
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,57.328
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,1.295151184463501
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,53.22
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.1040981352996826
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,60.586000000000006
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,1.3104850604057312
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,55.709999999999994
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.035536717300415
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,62.959999999999994
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,1.159500709247589
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,59.919999999999995
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.9869510475730896
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,65.074
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,1.1382474563598632
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,60.02000000000001
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.9575399482345581
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,65.94800000000001
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,1.1860424651145935
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,59.39
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.9281032646560669
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,66.9
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,1.0922102907180786
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,61.91
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.899872805519104
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,68.00999999999999
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,LOSS,1.2665889450073242
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,ACC1,59.18
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.877366287612915
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,68.81200000000001
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,10,HYPER,LR,0.01
cifar10,resnet50,adam_l0.01_e100_w0.0001_af_bf0.9_bs0.99,1,10,VALID,LOSS,0.9493722598075867
