DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,LOSS,369.25503333312986
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,ACC1,11.602
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,1,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,LOSS,67.603757421875
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,ACC1,11.89
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,LOSS,337.3734916027832
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,ACC1,10.960000000000003
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,2,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,LOSS,4854.8481890625
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,ACC1,6.279999999999997
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,LOSS,641.0008806787109
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,ACC1,12.346000000000002
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,3,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,LOSS,1096.1602701171876
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,LOSS,279.504521456604
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,ACC1,11.439999999999994
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,4,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,4,VALID,LOSS,31348.39174375
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0.9_cf_a0.99,1,4,VALID,ACC1,10.07
