DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,LOSS,1.9037766442108155
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,TRAIN,ACC1,32.687999999999995
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,LOSS,1.454723468208313
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,1,VALID,ACC1,46.08
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,LOSS,1.2275528268051148
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,TRAIN,ACC1,55.465999999999994
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,LOSS,1.1399854766845703
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,2,VALID,ACC1,58.96
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,LOSS,0.9611239706039428
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,TRAIN,ACC1,65.986
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,LOSS,1.0192927379608154
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,3,VALID,ACC1,65.32
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,LOSS,0.8226889916229249
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,TRAIN,ACC1,70.79599999999999
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,LOSS,0.8404172530174255
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,4,VALID,ACC1,70.51
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,LOSS,0.7234603811073304
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,TRAIN,ACC1,74.37
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,HYPER,LR,0.10009999123575256
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,LOSS,0.7176332849502564
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,5,VALID,ACC1,76.08
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,LOSS,0.6287675601005555
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,TRAIN,ACC1,78.04599999999999
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,HYPER,LR,0.10009998874648379
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,LOSS,0.6501699753761292
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,6,VALID,ACC1,77.14999999999999
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,LOSS,0.5695372085571289
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,TRAIN,ACC1,80.034
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,HYPER,LR,0.10009998555019961
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,LOSS,0.6040277546405792
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,7,VALID,ACC1,79.73
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,LOSS,0.5220532731056213
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,TRAIN,ACC1,81.914
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,HYPER,LR,0.10009998144608981
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,LOSS,0.5989363586425781
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,8,VALID,ACC1,79.93
cifar10,resnet50,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7_l4,1,9,TRAIN,LOSS,0.48730944402694704
