DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nf,1,10,0.3497468847331297,88.215,0.3035194787533063,89.8421052631579
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,0.2100797791134919,93.36333333333332,0.2945791477627402,90.17105263157896
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,16,0.3643750314655357,87.83999999999997,0.29230031246589755,90.10526315789473
agnews,rcnn,rmsprop_l0.001_e20_w0_m0.9_ct_a0.99,1,5,0.5337777672169611,81.78750000000002,0.4798353381065481,84.82894736842105
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_cf_a0.99,1,18,0.20894455969228914,93.70583333333332,0.3086456771592594,89.89473684210527
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_ct_a0.99,1,13,0.1572227860088811,95.70916666666666,0.2929473959544475,91.31578947368419
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0,1,18,0.20329182011925592,93.7375,0.2623219655544381,90.75
agnews,rcnn,rmsprop_l0.001_e20_w0_m0.9_cf_a0.99,1,19,0.506013253672879,82.92916666666666,0.4648163736586003,86.10526315789473
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0.9_cf_a0.99,1,10,0.5453507473486743,80.92666666666666,0.5895454420048225,79.9078947368421
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0_ct_a0.99,1,18,0.22055511756713603,93.26416666666668,0.3038463960384036,89.14473684210527
agnews,rcnn,adam_l0.001_e20_w0.0001_af_bf0.9_bs0.99,1,19,0.21824159600265647,93.26166666666668,0.27812917096215595,90.34210526315788
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,19,0.12371031599566973,96.9525,0.3282847945588097,90.82894736842104
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,20,0.2403581550010256,92.2575,0.281492845831149,90.02631578947368
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,11,0.1690352722056719,95.23833333333332,0.2777420099051179,91.11842105263158
agnews,rcnn,rmsprop_l0.001_e20_w0.0001_m0.9_ct_a0.99,1,11,0.5423118149458576,80.94833333333334,0.5196179823008367,82.14473684210526
agnews,rcnn,adam_l0.001_e20_w0.0001_at_bf0.9_bs0.99,1,18,0.1803563736751743,94.43583333333332,0.2897297386930392,90.67105263157896
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,17,0.1223854824903439,96.47833333333334,0.33410491184926644,91.35526315789473
