DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,0.4555005024862694
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,83.83
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,1,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,1,VALID,LOSS,0.42826717952134885
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,1,VALID,ACC1,85.22368421052632
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,0.4059797883540725
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,86.1075
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,2,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,2,VALID,LOSS,0.3455079920531178
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,2,VALID,ACC1,88.21052631578948
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,0.38149132897266247
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,87.12916666666666
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,3,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,3,VALID,LOSS,0.362856245044955
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,3,VALID,ACC1,87.36842105263159
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,0.35928480953835107
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,88.0125
agnews,rcnn,adagrad_l0.05_e20_w0.0001_d0_a0.1,1,4,HYPER,LR,0.05
