DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.4540357700415199
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,83.84
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,1,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.41080370485190815
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,1,VALID,ACC1,85.96052631578948
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.4066217012419677
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,86.12333333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,2,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.3313663576977181
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,2,VALID,ACC1,88.90789473684211
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.3784027915617667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,87.19583333333334
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,3,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.36524229153452603
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,3,VALID,ACC1,87.39473684210526
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.3578819793126396
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,88.03083333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,4,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.3492313085301041
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,4,VALID,ACC1,87.73684210526315
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.3437002796892449
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,88.49083333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,5,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.34747992941592415
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,5,VALID,ACC1,87.77631578947368
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.3285526565585809
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,88.98666666666666
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,6,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.34307043091047246
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,6,VALID,ACC1,87.71052631578947
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.31562148215223906
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,89.53583333333334
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,7,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.3440411793379731
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,7,VALID,ACC1,87.85526315789474
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.302583975223727
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,90.07583333333334
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,8,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.35065694803358066
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,8,VALID,ACC1,87.51315789473684
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.29205531807635093
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,90.4225
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,9,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,9,VALID,LOSS,0.3589261688671337
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,9,VALID,ACC1,87.18421052631578
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,10,TRAIN,LOSS,0.28019366534867085
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,10,TRAIN,ACC1,90.79916666666666
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,10,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,10,VALID,LOSS,0.321538319729452
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,10,VALID,ACC1,88.78947368421053
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,11,TRAIN,LOSS,0.27169955552117786
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,11,TRAIN,ACC1,91.1075
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,11,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,11,VALID,LOSS,0.33683110158036494
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,11,VALID,ACC1,87.9342105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,12,TRAIN,LOSS,0.2662561008779871
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,12,TRAIN,ACC1,91.3625
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,12,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,12,VALID,LOSS,0.3384833133790436
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,12,VALID,ACC1,87.85526315789474
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,13,TRAIN,LOSS,0.2553869720853307
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,13,TRAIN,ACC1,91.66333333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,13,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,13,VALID,LOSS,0.3154922056909454
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,13,VALID,ACC1,89.36842105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,TRAIN,LOSS,0.24882528741950669
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,TRAIN,ACC1,92.04166666666667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,VALID,LOSS,0.3134548899689616
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,14,VALID,ACC1,88.97368421052632
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,15,TRAIN,LOSS,0.24313088800930158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,15,TRAIN,ACC1,92.19666666666667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,15,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,15,VALID,LOSS,0.31271989637844216
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,15,VALID,ACC1,89.1842105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,16,TRAIN,LOSS,0.2368593750261475
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,16,TRAIN,ACC1,92.43083333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,16,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,16,VALID,LOSS,0.29752813195970185
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,16,VALID,ACC1,89.78947368421053
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,17,TRAIN,LOSS,0.22832629088748935
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,17,TRAIN,ACC1,92.70166666666667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,17,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,17,VALID,LOSS,0.31626270478831564
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,17,VALID,ACC1,89.11842105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,18,TRAIN,LOSS,0.22240557323579896
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,18,TRAIN,ACC1,92.92916666666666
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,18,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,18,VALID,LOSS,0.30822071887913194
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,18,VALID,ACC1,89.28947368421053
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,19,TRAIN,LOSS,0.21496805798791083
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,19,TRAIN,ACC1,93.125
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,19,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,19,VALID,LOSS,0.3338441173401418
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,19,VALID,ACC1,88.9342105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,TRAIN,LOSS,0.2100797791134919
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,TRAIN,ACC1,93.36333333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,VALID,LOSS,0.2945791477627402
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0.1,1,20,VALID,ACC1,90.17105263157895
