DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,1,TRAIN,LOSS,0.46413926097242375
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,1,TRAIN,ACC1,83.4525
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,1,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,1,VALID,LOSS,0.3687340111573158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,1,VALID,ACC1,87.35526315789474
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,2,TRAIN,LOSS,0.4202312309614496
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,2,TRAIN,ACC1,85.75833333333334
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,2,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,2,VALID,LOSS,0.3387982733638345
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,2,VALID,ACC1,88.53947368421052
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,3,TRAIN,LOSS,0.4058079889501632
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,3,TRAIN,ACC1,86.30833333333334
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,3,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,3,VALID,LOSS,0.32912827362414754
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,3,VALID,ACC1,88.71052631578948
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,4,TRAIN,LOSS,0.39531155068653845
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,4,TRAIN,ACC1,86.59166666666667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,4,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,4,VALID,LOSS,0.3228638377825717
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,4,VALID,ACC1,88.81578947368422
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,5,TRAIN,LOSS,0.39270245627204664
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,5,TRAIN,ACC1,86.75583333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,5,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,5,VALID,LOSS,0.31338836779227036
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,5,VALID,ACC1,89.39473684210526
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,6,TRAIN,LOSS,0.3878837438505529
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,6,TRAIN,ACC1,86.83833333333332
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,6,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,6,VALID,LOSS,0.3074330226896708
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,6,VALID,ACC1,89.4342105263158
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,7,TRAIN,LOSS,0.3851080759502145
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,7,TRAIN,ACC1,86.94166666666668
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,7,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,7,VALID,LOSS,0.3077156935407544
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,7,VALID,ACC1,89.44736842105263
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,8,TRAIN,LOSS,0.38024712825542445
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,8,TRAIN,ACC1,87.2
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,8,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,8,VALID,LOSS,0.30138552440610517
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,8,VALID,ACC1,89.69736842105263
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,9,TRAIN,LOSS,0.3803571805598122
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,9,TRAIN,ACC1,87.09833333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,9,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,9,VALID,LOSS,0.29966449856491223
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,9,VALID,ACC1,89.64473684210526
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,10,TRAIN,LOSS,0.3753555231277271
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,10,TRAIN,ACC1,87.32833333333333
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,10,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,10,VALID,LOSS,0.29666386470147865
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,10,VALID,ACC1,89.90789473684211
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,11,TRAIN,LOSS,0.3750369823340795
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,11,TRAIN,ACC1,87.335
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,11,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,11,VALID,LOSS,0.29516969644969965
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,11,VALID,ACC1,89.8421052631579
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,12,TRAIN,LOSS,0.3755073945117701
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,12,TRAIN,ACC1,87.31416666666667
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,12,HYPER,LR,0.05
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,12,VALID,LOSS,0.297584101508414
agnews,rcnn,adagrad_l0.05_e20_w0_d0_a0,1,12,VALID,ACC1,89.82894736842105
