DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.37910833107413305
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,87.05499999999999
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.4274632345820128
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,84.51315789473685
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.31168298927158666
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,89.98833333333334
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.38155749462531136
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,86.28947368421052
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.28407281076497426
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,91.05083333333333
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.305287226648006
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,88.81578947368422
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.26538310927763503
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.93
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.30733943652917545
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,89.10526315789473
agnews,rcnn,adam_l0.001_e20_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.24131962193744816
