DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.38208295335289166
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,86.89166666666667
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.40682501543433297
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,85.13157894736842
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.3120579509277663
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,89.995
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.3451605764450029
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,87.35526315789474
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.2820244665229451
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,90.96083333333334
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.3306945850917645
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,88.3421052631579
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.2630437171790602
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,91.67916666666667
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.3008770379923653
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,89.67105263157895
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.24191560985124871
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,92.315
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.34562832253284237
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,88.77631578947368
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.2258907977670508
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,92.81666666666666
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.2930487820048748
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,90.10526315789474
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.21149147666420565
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,93.43249999999999
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.30959166165622226
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,89.94736842105263
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.19817921121491006
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,93.81
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.33148364214358783
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,88.8421052631579
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.18690769867013726
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,94.17999999999999
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.2771920274381401
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,91.03947368421052
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.1772924482857932
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,94.55083333333333
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.3009057038693106
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,89.92105263157895
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.16610789483597052
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,ACC1,94.95666666666666
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,11,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,11,VALID,LOSS,0.3514174803851937
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,11,VALID,ACC1,89.51315789473684
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.1591464423464884
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,ACC1,95.17999999999999
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,12,HYPER,LR,0.001
agnews,rcnn,adam_l0.001_e20_w0_at_bf0.9_bs0.99,1,12,VALID,LOSS,0.29899311922544086
