DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,0.4702546900550875
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,83.03916666666666
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,0.44141516835585337
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,84.13157894736842
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,0.4264693284494387
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,85.26416666666667
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,0.4773490302715076
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,82.14473684210526
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,0.4126534052534405
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,85.8575
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,0.40354930880348694
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,86.31578947368422
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.3966599259696366
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,86.38833333333334
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.34236391796859644
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,88.18421052631578
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.38824153401244105
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,86.84916666666666
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,5,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,5,VALID,LOSS,0.37583994815374644
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,5,VALID,ACC1,87.18421052631578
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,0.3752080034345986
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,87.2725
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,6,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,6,VALID,LOSS,0.38035061600510456
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,6,VALID,ACC1,86.36842105263159
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,0.36937962332092344
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,87.39833333333334
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,7,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,7,VALID,LOSS,0.3908030232045628
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,7,VALID,ACC1,86.1578947368421
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,0.3610878127379415
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,87.86500000000001
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,8,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,8,VALID,LOSS,0.35585477020148004
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,8,VALID,ACC1,87.30263157894737
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,0.3565159875290695
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,87.94833333333334
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,9,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,9,VALID,LOSS,0.36151095795649396
agnews,rcnn,sgd_l0.01_e20_w0.0001_m0.9_nt,1,9,VALID,ACC1,87.32894736842105
