DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,0.4720797652060303
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,83.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,1,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,1,VALID,LOSS,0.4621091962765779
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,1,VALID,ACC1,83.38157894736841
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,0.42677489169099597
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,85.15083333333334
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,2,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,2,VALID,LOSS,0.4295028297932833
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,2,VALID,ACC1,84.78947368421052
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,0.41036252757341435
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,85.7525
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,3,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,3,VALID,LOSS,0.3652783748841989
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,3,VALID,ACC1,87.61842105263158
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,0.39308577719978316
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,86.52833333333334
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,4,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,4,VALID,LOSS,0.35029922843858446
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,4,VALID,ACC1,88.05263157894737
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,0.3819201807732122
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,87.05083333333333
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,5,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,5,VALID,LOSS,0.3452592665904524
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,5,VALID,ACC1,87.76315789473685
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,0.37195273932219797
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,6,TRAIN,ACC1,87.34166666666667
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,6,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,6,VALID,LOSS,0.34784896494228723
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,6,VALID,ACC1,87.94736842105263
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,7,TRAIN,LOSS,0.3650527590880407
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,7,TRAIN,ACC1,87.63416666666667
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,7,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,7,VALID,LOSS,0.36404471627727497
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,7,VALID,ACC1,87.0
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,8,TRAIN,LOSS,0.35311453831585554
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,8,TRAIN,ACC1,88.18083333333333
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,8,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,8,VALID,LOSS,0.3588461996373712
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,8,VALID,ACC1,87.17105263157895
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,9,TRAIN,LOSS,0.34449909899799896
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,9,TRAIN,ACC1,88.38666666666667
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,9,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,9,VALID,LOSS,0.3355795648690557
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,9,VALID,ACC1,88.10526315789473
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,10,TRAIN,LOSS,0.33703036133898673
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,10,TRAIN,ACC1,88.74166666666666
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,10,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,10,VALID,LOSS,0.3297725425351215
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,10,VALID,ACC1,88.5
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,11,TRAIN,LOSS,0.33010544964782046
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,11,TRAIN,ACC1,88.99083333333333
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,11,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,11,VALID,LOSS,0.3123395278024358
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,11,VALID,ACC1,88.94736842105263
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,12,TRAIN,LOSS,0.32594991243962695
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,12,TRAIN,ACC1,89.20833333333333
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,12,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,12,VALID,LOSS,0.29544499062837926
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,12,VALID,ACC1,90.22368421052632
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,13,TRAIN,LOSS,0.31750058415231114
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,13,TRAIN,ACC1,89.425
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,13,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,13,VALID,LOSS,0.3092282609683182
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,13,VALID,ACC1,89.31578947368422
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,TRAIN,LOSS,0.3124071880040816
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,TRAIN,ACC1,89.605
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,HYPER,LR,0.01
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,VALID,LOSS,0.3129933658364649
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,14,VALID,ACC1,88.82894736842105
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,15,TRAIN,LOSS,0.30746141561120954
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,15,TRAIN,ACC1,89.89416666666666
agnews,rcnn,sgd_l0.01_e20_w0_m0.9_nf,1,15,HYPER,LR,0.01
